date,strategy_return,benchmark_return,turnover,strategy_growth,benchmark_growth,strategy_return_net_10bps,strategy_net_growth_10bps
2016-08-31,-0.03510264591090795,0.0011975479761727748,1.0,0.964897354089092,1.0011975479761728,-0.03610264591090795,0.963897354089092
2016-09-30,0.003429557408368422,5.793105380558217e-05,1.0,0.9682065249581234,1.0012555484051946,0.002429557408368422,0.9662391980466258
2016-10-31,-0.00580439651180531,-0.01733702664295078,1.0,0.9625866703819493,0.9838967542860915,-0.00680439651180531,0.9596645234178678
2016-11-30,-0.0036592837897290176,0.03683845406186559,1.0,0.9590642925828115,1.0201419896704782,-0.004659283789729018,0.9551931740603289
2016-12-31,0.008872501182303483,0.020271768100451393,0.0,0.9675735916526574,1.0408220715146113,0.008872501182303483,0.9636681266265074
2017-01-31,0.02540333141009099,0.017894653735580857,1.0,0.9921531842650619,1.0594472220847153,0.02440333141009099,0.9871848392899154
2017-02-28,0.018693508392900737,0.039291695064984866,1.0,1.010700008142164,1.1010746992723133,0.017693508392900736,1.0046516025292358
2017-03-31,-0.015596528800947251,0.0012498420838016333,0.0,0.9949365963560571,1.102450868768873,-0.015596528800947251,0.9889825248754708
2017-04-30,0.01708380439669943,0.009926236117166587,1.0,1.011933898555322,1.1133940563998483,0.01608380439669943,1.0048891263573219
2017-05-31,0.024768058300737916,0.014112926531922643,0.0,1.0369975363512332,1.1291073049188987,0.024768058300737916,1.0297782788247176
2017-06-30,0.006113186793320624,0.006374941927409283,1.0,1.0433368959951614,1.1363052984175703,0.005113186793320624,1.0350437275200528
2017-07-31,0.04238013889894998,0.020554281941190577,0.0,1.0875536585658356,1.1596612378925137,0.04238013889894998,1.0789090244588395
2017-08-31,0.011534090553984355,0.002917729988851425,0.0,1.100097600946051,1.1630448162632212,0.011534090553984355,1.0913532588464587
2017-09-30,0.01158549583255164,0.020149323240074457,0.0,1.1128427771172116,1.1864793822088018,0.01158549583255164,1.103997127478666
2017-10-31,0.024799127814460697,0.023563849738422737,0.0,1.1404403073843405,1.2144374040889065,0.024799127814460697,1.1313752933498067
2017-11-30,0.0015021824199022427,0.030566023379536622,0.0,1.142153456765041,1.2515579261752718,0.0015021824199022427,1.1330748254257885
2017-12-31,0.02487182911638508,0.012128111471121361,1.0,1.1705609023663897,1.266736960216491,0.02387182911638508,1.1601233940344309
2018-01-31,0.056239810781836375,0.056358594967750975,1.0,1.2363930260240912,1.3381284754880123,0.055239810781836374,1.2242083908044747
2018-02-28,-0.04767234696157241,-0.03636006589834573,1.0,1.1774512687066023,1.2894740359388153,-0.04867234696157241,1.164623295253971
2018-03-31,-0.0022595348859496545,-0.02741048981460925,1.0,1.174790776488454,1.2541289210105113,-0.0032595348859496545,1.160827164994101
2018-04-30,0.002994533232651919,0.005168348102845943,1.0,1.1783087265100616,1.2606106958401402,0.001994533232651919,1.1631424733520468
2018-05-31,0.025537071107196496,0.024308743862143878,1.0,1.208399280245179,1.291254558355197,0.024537071107196495,1.1916825829284865
2018-06-30,-0.006830661592253373,0.005750831587946648,0.0,1.2001451136935017,1.2986803458574663,-0.006830661592253373,1.1835426024791196
2018-07-31,0.00636275671715536,0.037046818186005304,0.0,1.2077813450772164,1.3467923205121863,0.00636275671715536,1.1910731961230832
2018-08-31,0.01664328568313167,0.03191957868481565,1.0,1.2278827950460933,1.3897813639588805,0.01564328568313167,1.2097054943995573
2018-09-30,-0.01034909780402532,0.005945627493620709,1.0,1.2151753159082814,1.3980444862465562,-0.011349097804025321,1.1959764284295498
2018-10-31,-0.049177697575591484,-0.06910418787973283,0.0,1.15541579172122,1.3014337574047496,-0.049177697575591484,1.1371610613247052
2018-11-30,0.03264026321442837,0.018549009081815893,0.0,1.1931288672851077,1.325574063990232,0.03264026321442837,1.1742782976835422
2018-12-31,-0.0837836267921459,-0.08804815758355133,0.0,1.0931642035535565,1.2088597099153515,-0.0837836267921459,1.075893003040308
2019-01-31,0.017695844181558007,0.08006521929784127,2.0,1.1125086669644972,1.3056473276900489,0.015695844181558005,1.0927800519720572
